Rating,Location,Type of ownership,Sector,Revenue,Years Founded,Min_Salary,Max_Salary,Seniority,HQ_Same,SQL,Excel,Python,Tableau,R,SAS
3.8,NY,Company - Private,,$50 to $100 million (USD),30.0,46,87,Not specified,0,1,0,1,1,0,0
3.7,NJ,Company - Private,Information Technology,$100 to $500 million (USD),30.0,46,87,Not specified,0,1,1,0,1,0,0
3.6,NY,Company - Private,Finance,,5.0,46,87,Senior,1,1,1,1,0,1,0
3.6,NJ,Company - Public,Business Services,$50 to $100 million (USD),51.0,46,87,Not specified,0,0,0,1,1,0,0
4.0,NY,Company - Public,Media,$10+ billion (USD),97.0,46,87,Senior,0,1,0,0,1,0,0
3.2,NY,Company - Private,Accounting & Legal,$500 million to $1 billion (USD),69.0,46,87,Not specified,1,0,1,0,1,0,0
3.8,NY,Company - Private,Information Technology,,39.0,46,87,Not specified,1,1,0,1,1,1,0
3.9,NY,Company - Private,Real Estate,$25 to $50 million (USD),20.0,46,87,Not specified,1,1,1,1,1,1,1
4.8,NY,Company - Private,Health Care,,3.0,51,88,Not specified,1,1,0,0,0,0,0
3.6,NY,Company - Public,Information Technology,$500 million to $1 billion (USD),22.0,51,88,Not specified,0,1,0,0,0,0,0
3.6,NY,Company - Public,Information Technology,$500 million to $1 billion (USD),22.0,51,88,Not specified,0,1,0,0,0,0,0
3.6,NY,Company - Public,Information Technology,$500 million to $1 billion (USD),22.0,51,88,Not specified,0,0,0,0,0,0,0
4.1,NY,Company - Public,Business Services,$1 to $2 billion (USD),54.0,51,88,Junior,0,0,0,1,1,1,1
3.9,NY,Company - Public,Information Technology,$2 to $5 billion (USD),15.0,51,88,Not specified,0,0,0,1,1,1,0
3.0,NY,Company - Private,Information Technology,$1 to $5 million (USD),15.357142857142858,51,88,Not specified,1,1,1,0,0,0,0
3.7,NY,Company - Private,Finance,$500 million to $1 billion (USD),81.0,51,88,Not specified,1,0,1,0,1,0,0
3.9,NY,Company - Private,Information Technology,$100 to $500 million (USD),18.0,51,88,Not specified,0,1,1,1,1,0,1
3.7,NY,Company - Private,Business Services,$50 to $100 million (USD),21.0,51,88,Not specified,0,1,1,0,0,0,0
,NY,Company - Private,Business Services,,15.357142857142858,51,88,Junior,1,1,1,0,1,0,0
3.6,NY,Company - Public,,,24.83732057416268,51,88,Not specified,0,1,0,1,0,1,0
3.7,NY,Company - Public,Finance,$10+ billion (USD),208.0,51,88,Not specified,1,0,0,1,0,1,1
3.6,NY,Company - Private,Business Services,$100 to $500 million (USD),26.572916666666668,51,88,Not specified,1,1,1,1,0,0,0
4.1,NY,Government,Government,,75.0,51,88,Not specified,1,1,0,1,0,1,0
3.5,NY,Company - Public,Media,$5 to $10 billion (USD),35.0,51,88,Not specified,1,1,0,1,1,1,0
3.7,NJ,Subsidiary or Business Segment,Business Services,,36.65408805031446,51,88,Not specified,0,1,0,0,0,0,0
5.0,NY,Company - Private,,,15.357142857142858,51,88,Not specified,1,0,0,1,1,0,0
4.0,NY,Company - Private,Business Services,$1 to $5 million (USD),15.357142857142858,51,88,Not specified,0,1,0,1,0,0,0
4.8,NY,Company - Private,,,16.078688524590163,51,88,Not specified,0,1,0,0,0,0,0
5.0,NY,Company - Private,Information Technology,,15.357142857142858,51,88,Not specified,0,1,0,1,0,1,0
3.3,NY,Company - Private,Business Services,,17.0,51,88,Not specified,1,1,1,1,1,0,0
4.1,NY,Company - Private,Business Services,$100 to $500 million (USD),36.0,51,88,Not specified,1,1,1,0,1,0,0
4.0,NY,Company - Private,Accounting & Legal,Less than $1 million (USD),15.357142857142858,51,88,Not specified,0,1,0,1,0,0,0
1.0,NY,Company - Private,Information Technology,Less than $1 million (USD),15.357142857142858,51,88,Not specified,1,1,0,0,0,0,0
3.1,NY,Company - Private,Business Services,$10 to $25 million (USD),9.0,51,88,Not specified,0,1,0,1,1,1,1
4.5,NY,Company - Private,Insurance,,16.0,51,88,Not specified,1,1,0,1,0,0,0
3.4,NY,Nonprofit Organization,Finance,$500 million to $1 billion (USD),13.0,51,88,Not specified,0,1,1,0,0,0,0
3.6,NY,Company - Public,Finance,$2 to $5 billion (USD),58.0,51,87,Not specified,1,1,1,1,0,0,0
4.1,NY,Company - Public,Business Services,$500 million to $1 billion (USD),24.0,51,87,Not specified,0,1,1,0,1,0,0
4.4,NY,Company - Private,Information Technology,$10 to $25 million (USD),9.0,51,87,Not specified,0,1,0,1,1,0,0
3.8,NJ,Subsidiary or Business Segment,Business Services,$2 to $5 billion (USD),25.0,51,87,Not specified,0,1,1,1,0,0,0
3.2,NY,Company - Private,Business Services,$1 to $5 million (USD),15.357142857142858,51,87,Not specified,0,1,1,0,1,0,0
,NY,Company - Private,Retail,,15.357142857142858,51,87,Not specified,0,1,1,1,0,0,0
3.8,NY,Company - Private,Business Services,,26.572916666666668,51,87,Not specified,0,0,0,0,0,0,0
4.7,NY,,Health Care,,3.0,51,87,Not specified,1,0,1,0,0,0,0
2.3,NY,Nonprofit Organization,,$10 to $25 million (USD),15.357142857142858,51,87,Not specified,1,1,1,0,1,0,1
3.8,NY,Company - Public,Consumer Services,,8.0,51,87,Not specified,1,1,1,1,1,0,0
4.6,NY,Company - Private,Business Services,$10 to $25 million (USD),9.0,51,87,Not specified,0,1,0,1,0,0,0
3.0,NY,Company - Public,Health Care,$1 to $2 billion (USD),53.0,51,87,Not specified,0,0,1,0,0,0,0
3.9,NY,Company - Public,Finance,$10+ billion (USD),221.0,51,87,Not specified,1,0,0,1,0,1,0
3.0,NY,Nonprofit Organization,Non-Profit,$25 to $50 million (USD),24.83732057416268,51,87,Not specified,1,1,1,0,0,1,1
4.2,NY,Company - Private,,,16.078688524590163,51,87,Not specified,1,0,0,1,0,0,0
5.0,NY,Company - Private,Business Services,$5 to $10 million (USD),16.078688524590163,51,87,Not specified,1,0,1,0,0,0,0
4.0,NY,Company - Private,Information Technology,$50 to $100 million (USD),16.0,51,87,Not specified,0,1,0,0,0,0,0
,NY,School / School District,,,16.078688524590163,51,87,Not specified,1,0,0,0,0,0,0
3.6,NJ,Company - Private,Information Technology,,16.078688524590163,51,87,Not specified,0,0,0,0,0,0,0
3.7,NY,Company - Public,Finance,$100 to $500 million (USD),102.0,51,87,Not specified,1,0,0,0,0,0,0
3.5,NY,Company - Public,Business Services,$2 to $5 billion (USD),72.0,51,87,Not specified,0,1,1,1,0,1,0
2.8,NY,Subsidiary or Business Segment,Information Technology,$25 to $50 million (USD),26.0,51,87,Not specified,1,0,0,0,0,0,0
5.0,NY,Company - Private,Business Services,,6.0,51,87,Not specified,1,1,0,0,1,1,0
3.8,NJ,Company - Public,Information Technology,$10+ billion (USD),53.0,51,87,Not specified,0,1,1,0,0,0,0
3.4,NY,Nonprofit Organization,Non-Profit,$100 to $500 million (USD),125.0,51,87,Not specified,1,0,1,0,0,0,0
3.6,NJ,Company - Private,Biotech & Pharmaceuticals,$5 to $10 million (USD),16.0,51,87,Not specified,1,1,0,0,0,0,0
,NY,Company - Private,Health Care,,2.0,51,87,Not specified,1,1,1,1,1,0,1
3.2,NY,Nonprofit Organization,Insurance,$100 to $500 million (USD),36.65408805031446,51,87,Not specified,1,1,1,0,0,0,1
3.8,NY,Other Organization,Consumer Services,,16.078688524590163,59,85,Not specified,1,1,1,0,1,0,0
3.5,NY,Company - Private,Insurance,$10+ billion (USD),175.0,59,85,Not specified,1,1,0,1,0,1,1
3.5,NY,Company - Private,Business Services,$1 to $5 million (USD),52.0,59,85,Not specified,1,0,0,0,0,0,0
4.1,NJ,Company - Private,,,15.357142857142858,59,85,Not specified,0,0,0,0,0,0,0
5.0,NY,Company - Private,Information Technology,$50 to $100 million (USD),12.0,59,85,Junior,0,1,1,0,0,0,1
3.7,NY,Company - Public,Information Technology,$10+ billion (USD),109.0,59,85,Not specified,1,0,1,0,0,0,0
4.0,NY,Nonprofit Organization,Health Care,$10+ billion (USD),23.0,59,85,Not specified,1,0,0,0,0,0,0
3.3,NY,Company - Private,Business Services,$25 to $50 million (USD),25.0,59,85,Not specified,0,1,0,1,0,1,0
2.9,NY,Company - Private,Information Technology,,5.0,59,85,Not specified,1,1,0,1,1,1,1
3.6,NY,Company - Public,Finance,$10+ billion (USD),188.0,59,85,Not specified,0,0,0,1,0,0,0
3.2,NY,Nonprofit Organization,Health Care,$25 to $50 million (USD),11.0,59,85,Not specified,1,0,0,1,0,1,0
3.1,NY,Company - Private,Information Technology,$1 to $5 million (USD),16.078688524590163,59,85,Not specified,0,0,0,0,0,0,0
3.4,NJ,Contract,Business Services,,24.83732057416268,59,85,Not specified,0,0,1,0,1,0,0
4.0,NY,Company - Private,Information Technology,$50 to $100 million (USD),16.0,59,85,Not specified,0,0,0,0,0,0,0
4.3,NY,Company - Private,Media,$5 to $10 million (USD),16.078688524590163,59,85,Not specified,0,1,0,0,1,1,0
2.7,NJ,Company - Public,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),86.0,59,85,Not specified,0,1,0,0,0,0,0
4.1,NY,Subsidiary or Business Segment,Media,$10 to $25 million (USD),22.0,59,85,Senior,1,1,0,1,1,1,1
4.4,NY,Company - Private,,$1 to $5 million (USD),15.357142857142858,59,85,Not specified,0,1,0,0,0,0,0
3.1,NY,Subsidiary or Business Segment,Information Technology,$100 to $500 million (USD),30.0,59,85,Not specified,0,1,0,0,0,0,0
3.0,NY,Company - Private,,,15.357142857142858,59,85,Not specified,1,1,0,0,1,0,0
2.9,NY,Company - Private,Accounting & Legal,,24.83732057416268,59,85,Not specified,0,1,0,0,0,0,0
3.9,NY,College / University,Education,$2 to $5 billion (USD),82.0,59,85,Not specified,1,0,0,0,0,0,0
4.2,NY,Company - Private,Information Technology,$10 to $25 million (USD),12.0,59,85,Not specified,0,1,0,1,0,1,0
3.9,NY,Company - Private,Business Services,,18.0,59,85,Not specified,0,0,1,0,0,0,0
4.2,NY,Nonprofit Organization,Education,$100 to $500 million (USD),57.0,59,85,Not specified,1,1,0,0,0,1,0
,NY,Company - Private,Business Services,$1 to $5 million (USD),24.0,59,85,Not specified,0,0,0,0,1,0,0
5.0,NY,Company - Private,Business Services,$5 to $10 million (USD),16.078688524590163,59,85,Not specified,1,0,0,0,0,0,0
3.9,NY,Company - Public,Information Technology,$10+ billion (USD),26.0,59,85,Senior,0,1,0,0,1,0,0
2.9,NY,Company - Private,Accounting & Legal,,24.83732057416268,59,85,Not specified,0,1,0,0,0,0,0
4.0,NY,Hospital,Health Care,$5 to $10 billion (USD),179.0,43,76,Not specified,1,0,0,0,0,0,0
3.6,NY,Company - Private,Health Care,,7.0,43,76,Not specified,1,1,1,1,1,0,1
3.4,NY,Hospital,Health Care,$1 to $2 billion (USD),7.0,43,76,Not specified,1,0,0,0,0,0,0
3.3,NY,Company - Private,Information Technology,$10 to $25 million (USD),28.0,43,76,Not specified,0,0,0,0,0,0,0
3.2,NY,Company - Private,,$25 to $50 million (USD),24.83732057416268,43,76,Not specified,0,1,0,0,0,0,0
3.8,NY,Nonprofit Organization,Non-Profit,$10 to $25 million (USD),43.0,43,76,Not specified,1,0,1,0,1,0,0
3.4,NY,Hospital,Health Care,$1 to $2 billion (USD),7.0,43,76,Not specified,1,1,0,1,0,1,0
3.2,NY,Nonprofit Organization,Health Care,$25 to $50 million (USD),11.0,43,76,Not specified,1,0,0,0,0,0,0
3.2,NJ,Company - Private,Consumer Services,$10 to $25 million (USD),16.078688524590163,43,76,Not specified,0,1,0,1,0,0,0
3.3,NY,Company - Private,Business Services,,20.0,43,76,Not specified,1,0,1,0,0,0,0
3.8,NY,Company - Private,Information Technology,,5.0,43,76,Not specified,1,0,0,0,0,0,0
3.3,NY,Company - Private,Information Technology,$10 to $25 million (USD),28.0,43,76,Not specified,0,1,0,0,0,0,0
4.1,NY,Subsidiary or Business Segment,Media,$10 to $25 million (USD),22.0,43,76,Not specified,1,0,0,0,0,0,0
2.9,NY,Company - Private,Information Technology,,5.0,43,76,Senior,1,1,0,1,1,1,1
3.4,NY,Company - Private,Business Services,$100 to $500 million (USD),36.0,43,76,Not specified,0,0,1,0,1,1,0
2.5,NY,Nonprofit Organization,Non-Profit,$25 to $50 million (USD),134.0,43,76,Not specified,1,0,1,0,0,0,0
4.4,NJ,Company - Private,Information Technology,$1 to $5 million (USD),15.357142857142858,43,76,Not specified,1,0,0,0,0,0,0
3.9,NY,Company - Private,Information Technology,$100 to $500 million (USD),18.0,43,76,Not specified,0,1,1,1,1,0,1
2.3,NY,Nonprofit Organization,,$10 to $25 million (USD),15.357142857142858,43,76,Not specified,1,1,1,0,0,0,0
3.6,NY,Company - Public,Finance,$10+ billion (USD),158.0,43,76,Senior,0,1,0,1,1,0,0
,NY,,,,15.357142857142858,43,76,Not specified,0,0,0,0,0,0,0
3.6,NJ,Company - Private,Business Services,$50 to $100 million (USD),21.0,43,76,Not specified,0,0,1,0,0,0,0
3.3,NJ,Company - Private,Finance,$50 to $100 million (USD),12.0,43,76,Not specified,1,1,0,0,1,0,1
3.8,NY,Company - Public,Media,$10+ billion (USD),114.0,43,76,Senior,1,1,0,1,0,1,0
3.7,NY,Company - Private,Information Technology,,5.0,43,76,Senior,1,1,0,1,0,1,0
3.6,NY,Company - Public,Information Technology,$500 million to $1 billion (USD),22.0,43,76,Senior,0,1,0,0,0,0,0
4.0,NY,Company - Private,Accounting & Legal,Less than $1 million (USD),15.357142857142858,60,110,Not specified,0,0,0,0,0,0,0
4.1,NY,Company - Private,Business Services,,8.0,60,110,Senior,1,1,1,1,0,1,0
4.5,NY,Company - Private,Business Services,,16.0,60,110,Not specified,1,0,0,0,0,0,0
3.7,NY,Company - Private,Information Technology,$25 to $50 million (USD),23.0,60,110,Not specified,0,0,1,0,0,1,1
3.1,NY,Company - Private,Business Services,$10 to $25 million (USD),9.0,60,110,Junior,0,1,0,1,1,1,1
3.7,NJ,Company - Private,Business Services,$50 to $100 million (USD),39.0,60,110,Not specified,0,1,1,0,1,0,0
3.7,NY,Company - Public,Finance,$10+ billion (USD),208.0,60,110,Not specified,1,1,0,0,0,1,1
3.2,NY,Nonprofit Organization,Non-Profit,$25 to $50 million (USD),24.83732057416268,60,110,Not specified,1,1,0,1,0,1,0
3.6,NY,Company - Public,Business Services,$50 to $100 million (USD),51.0,60,110,Not specified,1,0,1,0,0,0,0
3.6,NJ,Company - Public,Finance,$10+ billion (USD),158.0,60,110,Not specified,0,1,0,0,0,0,0
3.7,NY,Company - Public,Media,$1 to $2 billion (USD),27.0,60,110,Not specified,1,1,1,1,1,1,0
3.1,NY,Company - Private,Business Services,$10 to $25 million (USD),9.0,60,110,Not specified,0,1,0,1,1,1,1
3.8,NY,Company - Public,Finance,$10+ billion (USD),85.0,60,110,Not specified,1,1,0,1,1,0,0
4.1,NY,Nonprofit Organization,Health Care,,17.0,60,110,Not specified,1,0,0,0,0,0,0
3.8,NY,Hospital,Health Care,$500 million to $1 billion (USD),50.32183908045977,60,110,Not specified,1,0,0,0,0,0,0
3.7,NJ,Company - Private,Information Technology,$100 to $500 million (USD),30.0,60,110,Senior,0,1,0,0,0,0,0
4.7,NJ,Company - Private,,,15.357142857142858,60,110,Not specified,0,1,1,1,0,1,0
3.7,NY,Nonprofit Organization,Health Care,$2 to $5 billion (USD),136.0,60,110,Senior,1,0,0,0,0,0,0
3.3,NY,Company - Private,Business Services,Less than $1 million (USD),15.357142857142858,60,110,Senior,0,0,0,0,0,0,0
3.4,NY,Company - Private,"Construction, Repair & Maintenance",$1 to $5 million (USD),15.357142857142858,60,110,Senior,0,0,0,1,0,0,0
3.2,NY,Nonprofit Organization,Non-Profit,,49.0,60,110,Not specified,1,0,0,0,0,0,0
,NY,Company - Private,Business Services,$1 to $5 million (USD),24.0,60,110,Not specified,0,0,0,0,0,0,0
5.0,NY,Company - Private,Business Services,$1 to $5 million (USD),15.357142857142858,60,110,Senior,1,0,1,0,0,0,0
3.6,NY,Company - Private,Information Technology,,2.0,60,110,Senior,1,1,0,0,1,0,0
3.0,NY,Company - Private,Information Technology,$1 to $5 million (USD),15.357142857142858,60,110,Not specified,1,1,1,0,0,0,0
3.5,NY,Nonprofit Organization,Non-Profit,$10 to $25 million (USD),31.0,60,110,Not specified,1,1,1,1,0,1,0
1.0,NY,Company - Private,Information Technology,Less than $1 million (USD),15.357142857142858,60,110,Not specified,1,1,0,1,0,0,0
5.0,NY,Company - Private,Information Technology,$50 to $100 million (USD),12.0,41,78,Not specified,0,1,1,0,0,0,1
5.0,NY,Company - Private,Business Services,,8.0,41,78,Senior,1,0,1,0,1,0,0
3.8,NY,Company - Private,Information Technology,,39.0,41,78,Not specified,1,0,0,0,0,0,0
4.1,NY,Company - Private,Information Technology,$25 to $50 million (USD),16.078688524590163,41,78,Not specified,0,0,1,0,0,0,0
3.3,NY,Nonprofit Organization,Non-Profit,$100 to $500 million (USD),54.0,41,78,Not specified,1,1,1,0,0,0,0
3.5,NY,Company - Private,Business Services,$1 to $5 million (USD),52.0,41,78,Not specified,1,0,0,0,0,0,0
3.7,NY,Company - Public,Finance,$10+ billion (USD),208.0,41,78,Not specified,1,0,0,0,0,0,0
4.0,NY,Company - Public,Media,$10+ billion (USD),97.0,41,78,Senior,0,0,0,1,0,0,0
3.4,NY,Company - Public,Information Technology,$10+ billion (USD),53.0,41,78,Senior,0,0,1,0,0,0,0
3.6,NJ,Company - Public,Business Services,$50 to $100 million (USD),51.0,41,78,Not specified,0,1,0,0,0,0,0
,NY,Company - Private,,,15.357142857142858,41,78,Senior,0,1,0,1,0,0,0
3.5,NJ,Company - Private,Business Services,$10 to $25 million (USD),16.078688524590163,41,78,Not specified,1,1,1,0,0,0,0
3.4,NY,Company - Private,Business Services,$25 to $50 million (USD),21.0,41,78,Not specified,1,0,0,0,0,0,0
4.1,NY,Company - Private,,,15.357142857142858,41,78,Not specified,1,0,1,0,0,0,0
4.2,NY,Company - Private,Information Technology,$5 to $10 million (USD),39.0,41,78,Not specified,1,1,1,0,0,0,0
2.7,NY,Company - Public,Business Services,$2 to $5 billion (USD),161.0,41,78,Not specified,0,0,0,0,0,0,0
3.1,NJ,Company - Public,Information Technology,$10 to $25 million (USD),24.0,41,78,Not specified,1,1,0,1,1,1,0
4.5,NY,Company - Private,Media,,30.0,41,78,Senior,0,1,0,0,0,0,0
4.8,NJ,Company - Private,Information Technology,,9.0,41,78,Junior,1,1,1,1,1,1,0
4.1,NJ,Company - Private,Business Services,$100 to $500 million (USD),36.0,41,78,Not specified,0,0,0,0,0,0,0
3.0,NJ,Company - Private,Information Technology,$25 to $50 million (USD),35.0,41,78,Not specified,0,0,0,0,1,0,0
2.7,NY,Subsidiary or Business Segment,Health Care,,23.0,41,78,Not specified,1,1,1,0,1,0,0
3.5,NY,Company - Public,Information Technology,$100 to $500 million (USD),12.0,41,78,Senior,0,1,0,0,0,0,0
,NY,Company - Private,,,15.357142857142858,41,78,Not specified,0,0,0,0,0,0,0
3.1,NY,Nonprofit Organization,Health Care,$500 million to $1 billion (USD),74.0,41,78,Not specified,0,0,0,0,0,0,0
5.0,NY,Company - Private,Business Services,Less than $1 million (USD),15.357142857142858,41,78,Not specified,0,1,0,0,0,0,0
3.9,NY,Company - Public,Finance,$10+ billion (USD),221.0,41,78,Senior,1,0,0,0,0,0,0
3.8,NJ,Company - Public,Information Technology,$10+ billion (USD),53.0,45,88,Not specified,0,0,0,1,0,0,0
3.0,NY,Nonprofit Organization,Health Care,$50 to $100 million (USD),36.0,45,88,Not specified,1,0,1,0,0,0,0
3.2,NY,Company - Public,,,15.357142857142858,45,88,Not specified,0,1,1,1,0,1,0
3.3,NY,Company - Private,Finance,$2 to $5 billion (USD),202.0,45,88,Senior,1,0,1,0,0,0,0
3.6,NY,Company - Public,Health Care,,50.32183908045977,45,88,Not specified,1,0,0,0,0,0,0
3.1,NY,Nonprofit Organization,Health Care,$500 million to $1 billion (USD),74.0,45,88,Not specified,0,0,0,0,0,0,0
3.6,NJ,Nonprofit Organization,Insurance,$10+ billion (USD),88.0,45,88,Not specified,1,1,0,0,0,0,1
3.9,NY,College / University,Education,$2 to $5 billion (USD),82.0,45,88,Not specified,1,0,0,0,0,0,1
4.0,NY,Company - Public,Media,$10+ billion (USD),97.0,45,88,Senior,0,1,0,0,1,0,0
3.9,NY,Company - Private,Information Technology,$100 to $500 million (USD),18.0,45,88,Not specified,0,0,0,1,1,0,0
3.8,NY,Company - Public,Information Technology,$10+ billion (USD),53.0,73,127,Not specified,0,1,0,0,0,0,0
4.9,NY,Company - Private,"Arts, Entertainment & Recreation",,2.0,73,127,Not specified,0,1,1,0,1,0,0
3.6,NY,Company - Public,Information Technology,$500 million to $1 billion (USD),22.0,73,127,Senior,0,0,0,0,0,0,0
3.2,NY,Company - Public,Finance,$10+ billion (USD),236.0,73,127,Not specified,1,0,0,0,0,0,0
2.9,NY,Company - Private,Business Services,$500 million to $1 billion (USD),64.0,73,127,Not specified,0,0,0,0,0,0,0
2.3,NY,Company - Private,,,24.83732057416268,73,127,Not specified,1,0,1,0,0,0,0
,NY,Company - Private,Business Services,,15.357142857142858,73,127,Senior,0,1,1,1,1,0,0
4.2,NY,Company - Private,Business Services,$1 to $5 million (USD),15.357142857142858,73,127,Not specified,0,1,0,0,1,0,0
3.4,NJ,Company - Private,Business Services,$10 to $25 million (USD),16.078688524590163,73,127,Not specified,1,1,0,0,0,0,0
3.1,NY,Company - Private,Business Services,$25 to $50 million (USD),24.0,73,127,Not specified,0,1,1,1,1,0,1
3.9,NY,Nonprofit Organization,,,36.65408805031446,73,127,Not specified,1,1,0,1,1,1,1
4.5,NY,Company - Private,Information Technology,$50 to $100 million (USD),12.0,73,127,Not specified,1,1,0,0,0,0,0
4.0,NY,Company - Private,Accounting & Legal,Less than $1 million (USD),15.357142857142858,84,90,Not specified,0,1,0,0,0,0,0
2.6,NY,Company - Private,Information Technology,Less than $1 million (USD),15.357142857142858,84,90,Not specified,0,0,1,0,0,0,0
,NY,Company - Private,Information Technology,,15.357142857142858,84,90,Not specified,0,0,0,0,0,0,0
3.9,NY,Company - Private,Information Technology,$100 to $500 million (USD),18.0,84,90,Not specified,0,0,0,1,0,0,0
4.1,NJ,Company - Private,Business Services,$5 to $10 million (USD),8.0,84,90,Not specified,0,0,1,0,0,0,0
3.8,NY,Company - Public,Media,$1 to $2 billion (USD),124.0,84,90,Senior,1,1,0,0,1,0,0
